,City,State,Population,Location,Latitude,Longitude
32,Tucson,Arizona,520116,West,32.2226066,-110.9747108
33,Fresno,California,494665,West,36.7377981,-119.7871247
34,Sacramento,California,466488,West,38.5815719,-121.4943996
35,Long Beach,California,462257,West,33.7700504,-118.1937395
36,Kansas City,Missouri,459787,Midwest,39.0997265,-94.5785667
37,Mesa,Arizona,439041,West,33.4151843,-111.8314724
38,Virginia Beach,Virginia,437994,South,36.8529263,-75.97798499999999
39,Atlanta,Georgia,420003,South,33.7489954,-84.3879824
40,Colorado Springs,Colorado,416427,West,38.8338816,-104.8213634
41,Omaha,Nebraska,408958,Midwest,41.2565369,-95.9345034
42,Raleigh,North Carolina,403892,South,35.7795897,-78.6381787
43,Miami,Florida,399457,South,25.7616798,-80.1917902
44,Cleveland,Ohio,396815,Midwest,41.49932,-81.6943605
45,San Juan,Puerto Rico,395326,,18.4655394,-66.1057355
46,Tulsa,Oklahoma,391906,South,36.1539816,-95.99277500000001
47,Oakland,California,390724,West,37.8043514,-122.2711639
48,Minneapolis,Minnesota,382578,Midwest,44.977753,-93.2650108
49,Wichita,Kansas,382368,Midwest,37.68717609999999,-97.33005299999999
50,Arlington,Texas,365438,South,32.735687,-97.10806559999999
51,Bakersfield,California,347483,West,35.3732921,-119.0187125
52,New Orleans,Louisiana,343829,South,29.95106579999999,-90.0715323
53,Honolulu,Hawaii,337256,West,21.3069444,-157.8583333
54,Anaheim,California,336265,West,33.8365932,-117.9143012
55,Tampa,Florida,335709,South,27.950575,-82.4571776
56,Aurora,Colorado,325078,West,39.7294319,-104.8319195
57,Santa Ana,California,324528,West,33.7454725,-117.867653
58,Saint Louis,Missouri,319294,Midwest,38.6270025,-90.19940419999999
59,Pittsburgh,Pennsylvania,305704,Northeast,40.44062479999999,-79.9958864
60,Corpus Christi,Texas,305215,South,27.8005828,-97.39638099999999
61,Riverside,California,303871,West,33.9806005,-117.3754942
62,Cincinnati,Ohio,296943,Midwest,39.1031182,-84.5120196
63,Lexington,Kentucky,295803,South,38.0405837,-84.5037164
64,Anchorage,Alaska,291826,West,61.2180556,-149.9002778
65,Stockton,California,291707,West,37.9577016,-121.2907796
66,Toledo,Ohio,287208,Midwest,41.6528052,-83.5378674
67,Saint Paul,Minnesota,285068,Midwest,44.9537029,-93.0899578
68,Newark,New Jersey,277140,Northeast,40.735657,-74.1723667
69,Greensboro,North Carolina,269666,South,36.0726354,-79.7919754
70,Buffalo,New York,261310,Northeast,42.88644679999999,-78.8783689
71,Plano,Texas,259841,South,33.0198431,-96.6988856
72,Lincoln,Nebraska,258379,Midwest,40.813616,-96.7025955
73,Henderson,Nevada,257729,West,36.0395247,-114.9817213
74,Fort Wayne,Indiana,253691,Midwest,41.079273,-85.1393513
75,Jersey City,New Jersey,247597,Northeast,40.7177545,-74.0431435
76,Saint Petersburg,Florida,244769,South,27.7676008,-82.64029149999999
77,Chula Vista,California,243916,West,32.6400541,-117.0841955
78,Norfolk,Virginia,242803,South,36.8507689,-76.28587259999999
79,Orlando,Florida,238300,South,28.5383355,-81.3792365
80,Chandler,Arizona,236123,West,33.3061605,-111.8412502
81,Laredo,Texas,236091,South,27.5035613,-99.5075519
82,Madison,Wisconsin,233209,Midwest,43.0730517,-89.4012302
83,Winston-Salem,North Carolina,229617,South,36.09985959999999,-80.244216
84,Lubbock,Texas,229573,South,33.5778631,-101.8551665
85,Baton Rouge,Louisiana,229493,South,30.4514677,-91.18714659999999
86,Durham,North Carolina,228330,South,35.9940329,-78.898619
87,Garland,Texas,226876,South,32.912624,-96.63888329999999
88,Glendale,Arizona,226721,West,33.5386523,-112.1859866
89,Reno,Nevada,225221,West,39.5296329,-119.8138027
90,Hialeah,Florida,224669,South,25.8575963,-80.2781057
91,Chesapeake,Virginia,222209,South,36.7682088,-76.2874927
92,Scottsdale,Arizona,217385,West,33.4941704,-111.9260519
93,North Las Vegas,Nevada,216961,West,36.1988592,-115.1175013
94,Irving,Texas,216290,South,32.8140177,-96.9488945
95,Fremont,California,214089,West,37.5485396,-121.988583
96,Irvine,California,212375,West,33.6845673,-117.8265049
97,Birmingham,Alabama,212237,South,33.5185892,-86.8103567
98,Rochester,New York,210565,Northeast,43.15657789999999,-77.6088465
99,San Bernardino,California,209924,West,34.1083449,-117.2897652
