,City,State,Population,Location,Latitude,Longitude
0,New York,New York,8175133,Northeast,40.7127753,-74.0059728
1,Los Angeles,California,3792621,West,34.0522342,-118.2436849
2,Chicago,Illinois,2695598,Midwest,41.8781136,-87.6297982
3,Houston,Texas,2099451,South,29.7604267,-95.3698028
4,Philadelphia,Pennsylvania,1526006,Northeast,39.9525839,-75.1652215
5,Phoenix,Arizona,1445632,West,33.4483771,-112.0740373
6,San Antonio,Texas,1327407,South,29.4241219,-98.49362819999999
7,San Diego,California,1307402,West,32.715738,-117.1610838
8,Dallas,Texas,1197816,South,32.7766642,-96.79698789999999
9,San Jose,California,945942,West,37.3382082,-121.8863286
10,Jacksonville,Florida,821784,South,30.3321838,-81.65565099999999
11,Indianapolis,Indiana,820445,Midwest,39.768403,-86.158068
12,San Francisco,California,805235,West,37.7749295,-122.4194155
13,Austin,Texas,790390,South,30.267153,-97.7430608
14,Columbus,Ohio,787033,Midwest,39.9611755,-82.99879419999999
15,Fort Worth,Texas,741206,South,32.7554883,-97.3307658
16,Louisville,Kentucky,741096,South,38.2526647,-85.7584557
17,Charlotte,North Carolina,731424,South,35.2270869,-80.8431267
18,Detroit,Michigan,713777,Midwest,42.331427,-83.0457538
19,El Paso,Texas,649121,South,31.7618778,-106.4850217
20,Memphis,Tennessee,646889,South,35.1495343,-90.0489801
21,Baltimore,Maryland,620961,Northeast,39.2903848,-76.6121893
22,Boston,Massachusetts,617594,Northeast,42.3600825,-71.0588801
23,Seattle,Washington,608660,West,47.6062095,-122.3320708
24,Washington,District of Columbia,601723,Northeast,38.9071923,-77.0368707
25,Nashville,Tennessee,601222,South,36.1626638,-86.7816016
26,Denver,Colorado,600158,West,39.7392358,-104.990251
27,Milwaukee,Wisconsin,594833,Midwest,43.0389025,-87.9064736
28,Portland,Oregon,583776,West,45.5051064,-122.6750261
29,Las Vegas,Nevada,583756,West,36.1699412,-115.1398296
30,Oklahoma City,Oklahoma,579999,South,35.4675602,-97.5164276
31,Albuquerque,New Mexico,545852,West,35.0843859,-106.650422
