,City,State,Population,Location,Latitude,Longitude
0,New York,New York,7894862,Northeast,40.7127753,-74.0059728
1,Chicago,Illinois,3366957,Midwest,41.8781136,-87.6297982
2,Los Angeles,California,2816061,West,34.0522342,-118.2436849
3,Philadelphia,Pennsylvania,1948609,Northeast,39.9525839,-75.1652215
4,Detroit,Michigan,1511482,Midwest,42.331427,-83.0457538
5,Houston,Texas,1232802,South,29.7604267,-95.3698028
6,Baltimore,Maryland,905759,South,39.2903848,-76.6121893
7,Dallas,Texas,844401,South,32.7766642,-96.79698789999999
8,Washington,District of Columbia,756510,South,38.9071923,-77.0368707
9,Cleveland,Ohio,750903,Midwest,41.49932,-81.6943605
10,Indianapolis,Indiana,744624,Midwest,39.768403,-86.158068
11,Milwaukee,Wisconsin,717099,Midwest,43.0389025,-87.9064736
12,San Francisco,California,715674,West,37.7749295,-122.4194155
13,San Diego,California,696769,West,32.715738,-117.1610838
14,San Antonio,Texas,654153,South,29.4241219,-98.49362819999999
15,Boston,Massachusetts,641071,Northeast,42.3600825,-71.0588801
16,Memphis,Tennessee,623530,South,35.1495343,-90.0489801
17,St. Louis,Missouri,622236,Midwest,38.6270025,-90.19940419999999
18,New Orleans,Louisiana,593471,South,29.95106579999999,-90.0715323
19,Phoenix,Arizona,581562,West,33.4483771,-112.0740373
20,Columbus,Ohio,539677,Midwest,39.9611755,-82.99879419999999
21,Seattle,Washington,530831,West,47.6062095,-122.3320708
22,Jacksonville,Florida,528865,South,30.3321838,-81.65565099999999
23,Pittsburgh,Pennsylvania,520117,Northeast,40.44062479999999,-79.9958864
24,Denver,Colorado,514678,West,39.7392358,-104.990251
25,Kansas City,Missouri,507087,Midwest,39.0997265,-94.5785667
26,Atlanta,Georgia,496973,South,33.7489954,-84.3879824
27,Buffalo,New York,462768,Northeast,42.88644679999999,-78.8783689
28,Cincinnati,Ohio,452524,Midwest,39.1031182,-84.5120196
29,Nashville-Davidson,Tennessee,448003,South,36.1626638,-86.7816016
30,San Jose,California,445779,West,37.3382082,-121.8863286
31,Minneapolis,Minnesota,434400,Midwest,44.977753,-93.2650108
32,Fort Worth,Texas,393476,South,32.7554883,-97.3307658
33,Toledo,Ohio,383818,Midwest,41.6528052,-83.5378674
34,Portland,Oregon,382619,West,45.5051064,-122.6750261
35,Newark,New Jersey,382417,Northeast,40.735657,-74.1723667
36,Oklahoma City,Oklahoma,366481,South,35.4675602,-97.5164276
37,Oakland,California,361561,West,37.8043514,-122.2711639
38,Louisville,Kentucky,361472,South,38.2526647,-85.7584557
39,Long Beach,California,358633,West,33.7700504,-118.1937395
40,Omaha,Nebraska,347328,Midwest,41.2565369,-95.9345034
41,Miami,Florida,334859,South,25.7616798,-80.1917902
42,Tulsa,Oklahoma,331638,South,36.1539816,-95.99277500000001
43,Honolulu,Hawaii,324871,West,21.3069444,-157.8583333
44,El Paso,Texas,322261,South,31.7618778,-106.4850217
45,Saint Paul,Minnesota,309980,Midwest,44.9537029,-93.0899578
46,Norfolk,Virginia,307951,South,36.8507689,-76.28587259999999
47,Birmingham,Alabama,300910,South,33.5185892,-86.8103567
48,Rochester,New York,296233,Northeast,43.15657789999999,-77.6088465
49,Tampa,Florida,277767,South,27.950575,-82.4571776
50,Wichita,Kansas,276554,Midwest,37.68717609999999,-97.33005299999999
51,Akron,Ohio,275425,Midwest,41.0814447,-81.51900529999999
52,Tucson,Arizona,262933,West,32.2226066,-110.9747108
53,Jersey City,New Jersey,260545,Northeast,40.7177545,-74.0431435
54,Sacramento,California,254413,West,38.5815719,-121.4943996
55,Austin,Texas,251808,South,30.267153,-97.7430608
56,Richmond,Virginia,249621,South,37.5407246,-77.4360481
57,Albuquerque,New Mexico,243751,West,35.0843859,-106.650422
58,Dayton,Ohio,243601,Midwest,39.7589478,-84.1916069
