,"Distance from Arkansas Nuclear One, Unit 1",Distance from Beaver Valley Power Station 1,Distance from Braidwood Station 1,Distance from Browns Ferry Nuclear Plant 1,Distance from Brunswick Steam Electric Plant 1,Distance from Byron Station 1,Distance from Callaway Plant 1,Distance from Calvert Cliffs Nuclear Power Plant 1,Distance from Catawba Nuclear Station 1,Distance from Clinton Power Station 1,Distance from Columbia Generating Station,Distance from Comanche Peak 1,Distance from Cooper,Distance from D.C. Cook 1,Distance from Davis-Besse,Distance from Diablo Canyon 1,Distance from Dresden 2,Distance from Duane Arnold,Distance from Farley 1,Distance from Fermi 2,Distance from FitzPatrick,Distance from Ginna,Distance from Grand Gulf 1,Distance from Harris 1,Distance from Hatch 1,Distance from Hope Creek 1,Distance from Indian Point 2,Distance from La Salle 1,Distance from Limerick 1,Distance from McGuire 1,Distance from Millstone 2,Distance from Monticello,Distance from Nine Mile Point 1,Distance from North Anna 1,Distance from Oconee 1,Distance from Palisades,Distance from Palo Verde 1,Distance from Peach Bottom 2,Distance from Perry 1,Distance from Point Beach 1,Distance from Prairie Island 1,Distance from Quad Cities 1,Distance from River Bend 1,Distance from Robinson 2,Distance from Saint Lucie 1,Distance from Salem 1,Distance from Seabrook 1,Distance from Sequoyah 1,Distance from South Texas 1,Distance from Summer,Distance from Surry 1,Distance from Susquehanna 1,Distance from Turkey Point 3,Distance from Vogtle 1,Distance from Waterford 3,Distance from Watts Bar 1,Distance from Wolf Creek 1,Mean Pop,StDev Pop,Median Pop
39,1082691,1341455,2291684,1218026,687646,1350433,559466,1266847,459276,1290812,174041,373571,178674,777419,2685916,859663,1288089,1368944,718164,1808801,3294564,7438798,412877,1658515,1288696,1433642,1006389,676252,1416040,836698,557338,242245,3294564,1420856,1585621,1282388,1158137,1709925,1773800,1407937,568136,931578,1453745,1425099,62346,1433642,811698,1125547,267700,653410,1243404,3210558,326602,848858,201131,1223324,196025,1257187.7719298245,1105496.8054161596,1218026.0
40,1168626,1439641,1431039,1003303,866023,1353180,642736,1387549,548052,1568640,135914,388665,398227,1006156,1892300,798822,2075979,1628069,596768,1570032,3032019,5487607,512856,1289483,1167575,1331167,712621,1007672,1324169,1013364,691286,469084,3032019,1844088,1146787,1044455,1831111,1413176,1362140,1448328,775846,1315232,1400848,1593603,73962,1331167,640875,992649,530259,608790,1450384,2177734,200135,829288,160881,1396909,235782,1206580.2105263157,842610.8364317636,1167575.0
41,1666691,1898530,1044000,1040675,903347,708793,491489,1290453,576428,1583475,62005,618697,343865,1552784,1927044,746158,1898755,1126076,516663,1792772,2010427,3943167,559571,1193839,1668344,1041491,570182,1534865,1182075,658643,677485,470622,2010427,1922955,942202,937416,1210498,1649748,1419836,1746098,811786,1427733,1385610,1153385,57990,1041491,651346,1197385,695700,478347,1479253,1730308,196532,850476,399656,1067370,483645,1127133.403508772,648572.6764994917,1044000.0
42,2188161,1712289,1618137,882697,509109,800229,891298,1492094,694253,1002595,21271,350639,399669,1241345,1829430,621393,1957447,979897,706165,1252060,2046107,2982508,620142,794140,1364201,1117392,361126,2329560,958533,747895,659976,412008,2046107,1744003,870587,695046,661068,823768,1567848,1521307,625102,1569822,895760,1254966,2764,1117392,987942,1254246,1415174,427116,1747799,1775686,193470,848377,352107,740006,401870,1071633.3157894737,617004.3840674567,895760.0
43,2036570,1824410,1727380,746140,341593,1159865,1104013,913155,964025,955704,83478,305960,299200,1095737,1736200,921198,1905580,1000068,673549,1046193,2237864,2488354,514749,1108640,1205833,1324310,767342,2093806,2135308,1372500,865172,497272,2237864,2034765,608834,802432,701320,637262,1510632,738749,464053,1574651,683269,1099401,51212,1324310,949998,1715718,1600086,615057,1618275,1547880,123196,1126390,395201,862955,321827,1101693.0701754387,607582.4813314711,1000068.0
44,2170373,2291695,1658809,786360,409689,1358773,1737832,1043077,1223640,965262,64510,533748,506073,1101411,1870410,944561,1824045,537296,968263,569851,3007514,2022425,726403,1118290,1366811,1401963,824955,1471220,1678729,997043,1135377,455858,3007514,2434116,754395,936680,960045,813576,1728476,789631,761044,1432096,606715,1424383,13701,1401963,552217,1372516,1391326,775125,1633195,1862564,146805,1078505,617535,1118898,410839,1171861.8596491227,648734.1959498374,1078505.0
45,2176036,2384335,1822868,879916,427540,1658799,2097411,826543,600242,1170495,28948,384491,582549,760022,845289,177606,1433254,561253,924734,748407,3293455,2031504,844814,1813262,1203267,1374540,426524,1572043,1271543,806098,689300,326552,3293455,4480329,1024817,853564,887599,931338,2104408,1208656,1006864,1274156,678567,833310,57580,1374540,950854,1338341,1025901,791236,3022566,2308012,95566,1111842,910686,1783554,727444,1231909.2105263157,855545.3267424017,950854.0
46,1760298,2004502,1760141,852582,352463,1576113,2001994,853741,565653,936907,37700,590463,525386,884529,876945,92160,1494416,755322,605575,730450,2223607,2171253,838605,1127715,940259,1482594,325897,1464537,665937,542092,584973,401716,2223607,4783850,1145388,736334,1253258,1507980,3131506,1151398,1074097,1081688,356141,935871,56430,1482594,1005874,1040367,651826,618459,4209754,2438325,68240,940733,891385,1646456,868047,1181160.2280701755,898003.1200651658,936907.0
47,936148,1650483,985462,1063137,508581,1508258,2368537,1245649,868559,1303006,18665,341218,955582,1150332,1007155,108608,1348180,782621,683166,678813,1760650,2793769,1410744,737709,934826,1817014,234290,1505235,452994,1006065,695351,398205,1760650,3712971,790767,690087,1577817,2172509,2995385,1188217,1108868,1440428,491337,959041,32799,1817014,1383899,1026907,630858,895639,4730860,2298209,24984,1101128,1454323,1685412,987881,1231877.2280701755,860527.9283091489,1026907.0
48,816083,1873040,1011413,1292153,517517,1568121,2888089,991304,1209446,1738603,28653,430619,1003552,1155844,1157174,199456,1067758,572835,779764,859543,1714873,3129787,1669839,977879,898134,2426834,372796,1174608,445032,841202,1396412,752376,1714873,3172770,804706,776561,1350536,1884596,2123326,688567,965578,1207151,539802,931775,56886,2426834,1561428,822350,275409,913597,3710776,1974354,89467,714794,1655294,1117568,903840,1216553.9824561405,783146.762823479,1003552.0
