,City,State,Population,Location,Latitude,Longitude
0,New York,New York,7071639,Northeast,40.7127753,-74.0059728
1,Chicago,Illinois,3005072,Midwest,41.8781136,-87.6297982
2,Los Angeles,California,2966850,West,34.0522342,-118.2436849
3,Philadelphia,Pennsylvania,1688210,Northeast,39.9525839,-75.1652215
4,Houston,Texas,1595138,South,29.7604267,-95.3698028
5,Detroit,Michigan,1203339,Midwest,42.331427,-83.0457538
6,Dallas,Texas,904078,South,32.7766642,-96.79698789999999
7,San Diego,California,875538,West,32.715738,-117.1610838
8,Phoenix,Arizona,789704,West,33.4483771,-112.0740373
9,Baltimore,Maryland,786775,South,39.2903848,-76.6121893
10,San Antonio,Texas,785880,South,29.4241219,-98.49362819999999
11,Indianapolis,Indiana,700807,Midwest,39.768403,-86.158068
12,San Francisco,California,678974,West,37.7749295,-122.4194155
13,Memphis,Tennessee,646356,South,35.1495343,-90.0489801
14,Washington,District of Columbia,638333,South,38.9071923,-77.0368707
15,Milwaukee,Wisconsin,636212,Midwest,43.0389025,-87.9064736
16,San Jose,California,629442,West,37.3382082,-121.8863286
17,Cleveland,Ohio,573822,Midwest,41.49932,-81.6943605
18,Columbus,Ohio,564871,Midwest,39.9611755,-82.99879419999999
19,Boston,Massachusetts,562994,Northeast,42.3600825,-71.0588801
20,New Orleans,Louisiana,557515,South,29.95106579999999,-90.0715323
21,Jacksonville,Florida,540920,South,30.3321838,-81.65565099999999
22,Seattle,Washington,493846,West,47.6062095,-122.3320708
23,Denver,Colorado,492365,West,39.7392358,-104.990251
24,Nashville-Davidson,Tennessee,455651,South,36.1626638,-86.7816016
25,St. Louis,Missouri,453085,Midwest,38.6270025,-90.19940419999999
26,Kansas City,Missouri,448159,Midwest,39.0997265,-94.5785667
27,El Paso,Texas,425259,South,31.7618778,-106.4850217
28,Atlanta,Georgia,425022,South,33.7489954,-84.3879824
29,Pittsburgh,Pennsylvania,423938,Northeast,40.44062479999999,-79.9958864
30,Oklahoma City,Oklahoma,403213,South,35.4675602,-97.5164276
31,Cincinnati,Ohio,385457,Midwest,39.1031182,-84.5120196
32,Fort Worth,Texas,385164,South,32.7554883,-97.3307658
33,Minneapolis,Minnesota,370951,Midwest,44.977753,-93.2650108
34,Portland,Oregon,366383,West,45.5051064,-122.6750261
35,Honolulu,Hawaii,365048,West,21.3069444,-157.8583333
36,Long Beach,California,361334,West,33.7700504,-118.1937395
37,Tulsa,Oklahoma,360919,South,36.1539816,-95.99277500000001
38,Buffalo,New York,357870,Northeast,42.88644679999999,-78.8783689
39,Toledo,Ohio,354635,Midwest,41.6528052,-83.5378674
40,Miami,Florida,346865,South,25.7616798,-80.1917902
41,Austin,Texas,345496,South,30.267153,-97.7430608
42,Oakland,California,339337,West,37.8043514,-122.2711639
43,Albuquerque,New Mexico,331767,West,35.0843859,-106.650422
44,Tucson,Arizona,330537,West,32.2226066,-110.9747108
45,Newark,New Jersey,329248,Northeast,40.735657,-74.1723667
46,Charlotte,North Carolina,314447,South,35.2270869,-80.8431267
47,Omaha,Nebraska,314255,Midwest,41.2565369,-95.9345034
48,Louisville,Kentucky,298451,South,38.2526647,-85.7584557
49,Birmingham,Alabama,284413,South,33.5185892,-86.8103567
50,Wichita,Kansas,279272,Midwest,37.68717609999999,-97.33005299999999
51,Sacramento,California,275741,West,38.5815719,-121.4943996
52,Tampa,Florida,271523,South,27.950575,-82.4571776
53,Saint Paul,Minnesota,270230,Midwest,44.9537029,-93.0899578
54,Norfolk,Virginia,266979,South,36.8507689,-76.28587259999999
55,Virginia Beach,Virginia,262199,South,36.8529263,-75.97798499999999
