,City,State,Population,Location,Latitude,Longitude
0,New York,New York,7781984,Northeast,40.7127753,-74.0059728
1,Chicago,Illinois,3550404,Midwest,41.8781136,-87.6297982
2,Los Angeles,California,2479015,West,34.0522342,-118.2436849
3,Philadelphia,Pennsylvania,2002512,Northeast,39.9525839,-75.1652215
4,Detroit,Michigan,1670144,Midwest,42.331427,-83.0457538
5,Baltimore,Maryland,939024,South,39.2903848,-76.6121893
6,Houston,Texas,938219,South,29.7604267,-95.3698028
7,Cleveland,Ohio,876050,Midwest,41.49932,-81.6943605
8,Washington,District of Columbia,763956,South,38.9071923,-77.0368707
9,St. Louis,Missouri,750026,Midwest,38.6270025,-90.19940419999999
10,Milwaukee,Wisconsin,741324,Midwest,43.0389025,-87.9064736
11,San Francisco,California,740316,West,37.7749295,-122.4194155
12,Boston,Massachusetts,697197,Northeast,42.3600825,-71.0588801
13,Dallas,Texas,679684,South,32.7766642,-96.79698789999999
14,New Orleans,Louisiana,627525,South,29.95106579999999,-90.0715323
15,Pittsburgh,Pennsylvania,604332,Northeast,40.44062479999999,-79.9958864
16,San Antonio,Texas,587718,South,29.4241219,-98.49362819999999
17,San Diego,California,573224,West,32.715738,-117.1610838
18,Seattle,Washington,557087,West,47.6062095,-122.3320708
19,Buffalo,New York,532759,Northeast,42.88644679999999,-78.8783689
20,Cincinnati,Ohio,502550,Midwest,39.1031182,-84.5120196
21,Memphis,Tennessee,497524,South,35.1495343,-90.0489801
22,Denver,Colorado,493887,West,39.7392358,-104.990251
23,Atlanta,Georgia,487455,South,33.7489954,-84.3879824
24,Minneapolis,Minnesota,482872,Midwest,44.977753,-93.2650108
25,Indianapolis,Indiana,476258,Midwest,39.768403,-86.158068
26,Kansas City,Missouri,475539,Midwest,39.0997265,-94.5785667
27,Columbus,Ohio,471316,Midwest,39.9611755,-82.99879419999999
28,Phoenix,Arizona,439170,West,33.4483771,-112.0740373
29,Newark,New Jersey,405220,Northeast,40.735657,-74.1723667
30,Louisville,Kentucky,390639,South,38.2526647,-85.7584557
31,Portland,Oregon,372676,West,45.5051064,-122.6750261
32,Oakland,California,367548,West,37.8043514,-122.2711639
33,Fort Worth,Texas,356268,South,32.7554883,-97.3307658
34,Long Beach,California,344168,West,33.7700504,-118.1937395
35,Birmingham,Alabama,340887,South,33.5185892,-86.8103567
36,Oklahoma City,Oklahoma,324253,South,35.4675602,-97.5164276
37,Rochester,New York,318611,Northeast,43.15657789999999,-77.6088465
