,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
20138,72760,Saint Paul,AR,35.82635,-93.73715,342.0,70.72370777042305,35.330898,-93.247162
3821,72927,Booneville,AR,35.105965999999995,-93.97531,8701.0,70.73892707680699,35.330898,-93.247162
31469,72933,Charleston,AR,35.312232,-94.0371,4999.0,71.72041415396176,35.330898,-93.247162
5956,72641,Jasper,AR,35.979619,-93.23783,2585.0,72.16205748054355,35.330898,-93.247162
2431,72930,Cecil,AR,35.426502,-94.04509,320.0,73.14142071139743,35.330898,-93.247162
21061,71956,Mountain Pine,AR,34.663502,-93.23591,1882.0,74.24142512276853,35.330898,-93.247162
3298,72181,Wooster,AR,35.163915,-92.45297,62.0,74.49497478934337,35.330898,-93.247162
8340,72031,Clinton,AR,35.586064,-92.48355,7683.0,74.77897748543461,35.330898,-93.247162
24404,72947,Mulberry,AR,35.528853999999995,-94.05225,4433.0,76.21698613848653,35.330898,-93.247162
31302,72776,Witter,AR,35.934678999999996,-93.64583,574.0,76.21806222804518,35.330898,-93.247162
8208,72122,Paron,AR,34.774077,-92.7549,927.0,76.45284361280582,35.330898,-93.247162
22828,72742,Kingston,AR,35.992385999999996,-93.47918,545.0,76.5064670327925,35.330898,-93.247162
24983,72039,Damascus,AR,35.339128,-92.4036,2131.0,76.54968124905537,35.330898,-93.247162
25987,71970,Story,AR,34.669401,-93.4857,792.0,76.72099833918418,35.330898,-93.247162
40,72721,Combs,AR,35.829657,-93.8354,391.0,76.87234780178325,35.330898,-93.247162
16558,72640,Hasty,AR,36.000803999999995,-93.01818,385.0,77.33321473853312,35.330898,-93.247162
22257,72034,Conway,AR,35.074616999999996,-92.444426,44723.0,78.32974689489187,35.330898,-93.247162
17227,71909,Hot Springs Village,AR,34.657742,-92.9811,15508.0,78.70203128101525,35.330898,-93.247162
10643,72629,Dennard,AR,35.755793,-92.54556,629.0,79.15554446313334,35.330898,-93.247162
18306,72032,Conway,AR,35.075466999999996,-92.43401,31436.0,79.17792371688199,35.330898,-93.247162
24984,72058,Greenbrier,AR,35.236993,-92.37573,15911.0,79.8094555618129,35.330898,-93.247162
25360,71969,Sims,AR,34.679542,-93.61788,376.0,79.93614272366675,35.330898,-93.247162
18859,72645,Leslie,AR,35.800025,-92.57585999999999,1867.0,80.07536022656318,35.330898,-93.247162
16823,72135,Roland,AR,34.880441999999995,-92.55142,2623.0,80.73728839573599,35.330898,-93.247162
26498,72935,Dyer,AR,35.478787,-94.11998,577.0,80.82201438258981,35.330898,-93.247162
20505,72013,Bee Branch,AR,35.452494,-92.36279,2197.0,81.32347523257633,35.330898,-93.247162
26282,72650,Marshall,AR,35.896883,-92.66479,4362.0,82.07554534905437,35.330898,-93.247162
28434,72636,Gilbert,AR,35.916744,-92.68140799999999,24.0,82.84181784230637,35.330898,-93.247162
12972,72624,Compton,AR,36.0717,-93.35157,594.0,82.93719738264015,35.330898,-93.247162
12770,72941,Lavaca,AR,35.348089,-94.17279,5251.0,84.00787261892647,35.330898,-93.247162
23210,72648,Marble Falls,AR,36.083655,-93.12978000000001,716.0,84.39755697443906,35.330898,-93.247162
13983,72035,Conway,AR,35.105306,-92.354915,1083.0,84.87274584059999,35.330898,-93.247162
2518,72106,Mayflower,AR,34.969848,-92.42483,5376.0,84.88800960374095,35.330898,-93.247162
7337,72685,Western Grove,AR,36.062264,-92.96276999999999,1365.0,85.30950035054337,35.330898,-93.247162
20038,72950,Parks,AR,34.779465,-93.90077,409.0,85.46207923599896,35.330898,-93.247162
17725,71965,Pencil Bluff,AR,34.655204,-93.73748,315.0,87.43425754230496,35.330898,-93.247162
15894,72675,Saint Joe,AR,36.021564,-92.77395,1399.0,87.91940708503168,35.330898,-93.247162
12931,72061,Guy,AR,35.311481,-92.27505,250.0,88.25017079083604,35.330898,-93.247162
10996,72921,Alma,AR,35.48891,-94.20897,13787.0,88.94641296292657,35.330898,-93.247162
17441,72946,Mountainburg,AR,35.649503,-94.15357,3654.0,89.41119780301851,35.330898,-93.247162
24823,72153,Shirley,AR,35.619538,-92.32589,2572.0,89.41285824331823,35.330898,-93.247162
31327,71957,Mount Ida,AR,34.571277,-93.58361,3133.0,89.88778156974186,35.330898,-93.247162
7509,71968,Royal,AR,34.522254,-93.25662,4717.0,89.94947261115699,35.330898,-93.247162
5699,72669,Pindall,AR,36.087461,-92.88803,107.0,90.18686451776122,35.330898,-93.247162
29833,72936,Greenwood,AR,35.200061,-94.24376,14527.0,91.67070035557943,35.330898,-93.247162
5021,72087,Lonsdale,AR,34.581202000000005,-92.8236,2051.0,91.89438042284029,35.330898,-93.247162
22263,72223,Little Rock,AR,34.796399,-92.46821,19890.0,92.54110928337707,35.330898,-93.247162
8187,72113,Maumelle,AR,34.854746,-92.39981,21273.0,93.5525643763974,35.330898,-93.247162
10255,72958,Waldron,AR,34.907334999999996,-94.13624,8117.0,93.6088184469725,35.330898,-93.247162
21285,72088,Fairfield Bay,AR,35.598238,-92.26358,2391.0,93.93670822761288,35.330898,-93.247162
1698,71901,Hot Springs National Park,AR,34.506487,-93.01941,29491.0,94.0222484295128,35.330898,-93.247162
18626,72959,Winslow,AR,35.797792,-94.11367,2786.0,94.04181315567148,35.330898,-93.247162
21166,72047,Enola,AR,35.220931,-92.21721,969.0,94.32167934494645,35.330898,-93.247162
15895,72944,Mansfield,AR,35.057119,-94.234,2919.0,94.72882041635555,35.330898,-93.247162
23707,72773,Wesley,AR,36.019883,-93.8651,953.0,94.81765991984369,35.330898,-93.247162
4563,72727,Elkins,AR,35.970492,-93.94296,5658.0,94.95292455446045,35.330898,-93.247162
18200,72131,Quitman,AR,35.402236,-92.20204,4631.0,95.12792195375683,35.330898,-93.247162
13291,72740,Huntsville,AR,36.1161,-93.68605,9543.0,95.9090645285241,35.330898,-93.247162
1918,71961,Oden,AR,34.606137,-93.82391,1003.0,96.2408620746874,35.330898,-93.247162
8323,72940,Huntington,AR,35.105477,-94.26995,2515.0,96.2635027503687,35.330898,-93.247162
1510,72923,Barling,AR,35.332908,-94.30853,4735.0,96.31156294092656,35.330898,-93.247162
