,City,State,Population,Location,Latitude,Longitude
0,New York City,New York,7891957,Northeast,40.7127753,-74.0059728
1,Chicago,Illinois,3620962,Midwest,41.8781136,-87.6297982
2,Philadelphia,Pennsylvania,2071605,Northeast,39.9525839,-75.1652215
3,Los Angeles,California,1970358,West,34.0522342,-118.2436849
4,Detroit,Michigan,1849568,Midwest,42.331427,-83.0457538
5,Baltimore,Maryland,949708,South,39.2903848,-76.6121893
6,Cleveland,Ohio,914808,Midwest,41.49932,-81.6943605
7,St. Louis,Missouri,856796,Midwest,38.6270025,-90.19940419999999
8,Washington,District of Columbia,802178,South,38.9071923,-77.0368707
9,Boston,Massachusetts,801444,Northeast,42.3600825,-71.0588801
10,San Francisco,California,775357,West,37.7749295,-122.4194155
11,Pittsburgh,Pennsylvania,676806,Northeast,40.44062479999999,-79.9958864
12,Milwaukee,Wisconsin,637392,Midwest,43.0389025,-87.9064736
13,Houston,Texas,596163,South,29.7604267,-95.3698028
14,Buffalo,New York,580132,Northeast,42.88644679999999,-78.8783689
15,New Orleans,Louisiana,570445,South,29.95106579999999,-90.0715323
16,Minneapolis,Minnesota,521718,Midwest,44.977753,-93.2650108
17,Cincinnati,Ohio,503998,Midwest,39.1031182,-84.5120196
18,Seattle,Washington,467591,West,47.6062095,-122.3320708
19,Kansas City,Missouri,456622,Midwest,39.0997265,-94.5785667
20,Newark,New Jersey,438776,Northeast,40.735657,-74.1723667
21,Dallas,Texas,434462,South,32.7766642,-96.79698789999999
22,Indianapolis,Indiana,427173,Midwest,39.768403,-86.158068
23,Denver,Colorado,415786,West,39.7392358,-104.990251
24,San Antonio,Texas,408442,South,29.4241219,-98.49362819999999
25,Memphis,Tennessee,396000,South,35.1495343,-90.0489801
26,Oakland,California,384575,West,37.8043514,-122.2711639
27,Columbus,Ohio,375901,Midwest,39.9611755,-82.99879419999999
28,Portland,Oregon,373628,West,45.5051064,-122.6750261
29,Louisville,Kentucky,369129,South,38.2526647,-85.7584557
30,San Diego,California,334387,West,32.715738,-117.1610838
31,Rochester,New York,332488,Northeast,43.15657789999999,-77.6088465
32,Atlanta,Georgia,331314,South,33.7489954,-84.3879824
33,Birmingham,Alabama,326037,South,33.5185892,-86.8103567
34,Saint Paul,Minnesota,311349,Midwest,44.9537029,-93.0899578
35,Toledo,Ohio,303616,Midwest,41.6528052,-83.5378674
36,Jersey City,New Jersey,299017,Northeast,40.7177545,-74.0431435
37,Fort Worth,Texas,278778,South,32.7554883,-97.3307658
38,Akron,Ohio,274605,Midwest,41.0814447,-81.51900529999999
39,Omaha,Nebraska,251117,Midwest,41.2565369,-95.9345034
40,Long Beach,California,250767,West,33.7700504,-118.1937395
41,Miami,Florida,249276,South,25.7616798,-80.1917902
42,Providence,Rhode Island,248674,Northeast,41.8239891,-71.4128343
43,Dayton,Ohio,243872,Midwest,39.7589478,-84.1916069
44,Oklahoma City,Oklahoma,243504,South,35.4675602,-97.5164276
45,Richmond,Virginia,230310,South,37.5407246,-77.4360481
46,Syracuse,New York,220583,Northeast,43.0481221,-76.14742439999999
47,Norfolk,Virginia,213513,South,36.8507689,-76.28587259999999
48,Jacksonville,Florida,204517,South,30.3321838,-81.65565099999999
49,Worcester,Massachusetts,203486,Northeast,42.2625932,-71.8022934
50,Tulsa,Oklahoma,182740,South,36.1539816,-95.99277500000001
51,Salt Lake City,Utah,182121,West,40.7607793,-111.8910474
52,Des Moines,Iowa,177965,Midwest,41.5868353,-93.6249593
53,Hartford,Connecticut,177397,Northeast,41.7658043,-72.6733723
54,Grand Rapids,Michigan,176515,Midwest,42.9633599,-85.6680863
55,Nashville,Tennessee,174307,South,36.1626638,-86.7816016
56,Youngstown,Ohio,168330,Midwest,41.0997803,-80.6495194
57,Wichita,Kansas,168279,Midwest,37.68717609999999,-97.33005299999999
58,New Haven,Connecticut,164443,Northeast,41.308274,-72.9278835
59,Flint,Michigan,163143,Midwest,43.0125274,-83.6874562
60,Springfield,Massachusetts,162399,Northeast,42.1014831,-72.589811
61,Spokane,Washington,161721,West,47.6587802,-117.4260465
