,City,State,Population,Location,Latitude,Longitude
0,New York,New York,7454995,Northeast,40.7127753,-74.0059728
1,Chicago,Illinois,3396808,Midwest,41.8781136,-87.6297982
2,Philadelphia,Pennsylvania,1931334,Northeast,39.9525839,-75.1652215
3,Detroit,Michigan,1623452,Midwest,42.331427,-83.0457538
4,Los Angeles,California,1504277,West,34.0522342,-118.2436849
5,Cleveland,Ohio,878336,Midwest,41.49932,-81.6943605
6,Baltimore,Maryland,859100,South,39.2903848,-76.6121893
7,St. Louis,Missouri,816048,Midwest,38.6270025,-90.19940419999999
8,Boston,Massachusetts,770816,Northeast,42.3600825,-71.0588801
9,Pittsburgh,Pennsylvania,671659,Northeast,40.44062479999999,-79.9958864
10,Washington,District of Columbia,663091,South,38.9071923,-77.0368707
11,San Francisco,California,634536,West,37.7749295,-122.4194155
12,Milwaukee,Wisconsin,587472,Midwest,43.0389025,-87.9064736
13,Buffalo,New York,575901,Northeast,42.88644679999999,-78.8783689
14,New Orleans,Louisiana,494537,South,29.95106579999999,-90.0715323
15,Minneapolis,Minnesota,492370,Midwest,44.977753,-93.2650108
16,Cincinnati,Ohio,455610,Midwest,39.1031182,-84.5120196
17,Newark,New Jersey,429760,Northeast,40.735657,-74.1723667
18,Kansas City,Missouri,399178,Midwest,39.0997265,-94.5785667
19,Indianapolis,Indiana,386972,Midwest,39.768403,-86.158068
20,Houston,Texas,384514,South,29.7604267,-95.3698028
21,Seattle,Washington,368302,West,47.6062095,-122.3320708
22,Rochester,New York,324975,Northeast,43.15657789999999,-77.6088465
23,Denver,Colorado,322412,West,39.7392358,-104.990251
24,Louisville,Kentucky,319077,South,38.2526647,-85.7584557
25,Columbus,Ohio,306087,Midwest,39.9611755,-82.99879419999999
26,Portland,Oregon,305394,West,45.5051064,-122.6750261
27,Atlanta,Georgia,302288,South,33.7489954,-84.3879824
28,Oakland,California,302163,West,37.8043514,-122.2711639
29,Jersey City,New Jersey,301173,Northeast,40.7177545,-74.0431435
30,Dallas,Texas,294734,South,32.7766642,-96.79698789999999
31,Memphis,Tennessee,292942,South,35.1495343,-90.0489801
32,Saint Paul,Minnesota,287736,Midwest,44.9537029,-93.0899578
33,Toledo,Ohio,282349,Midwest,41.6528052,-83.5378674
34,Birmingham,Alabama,267583,South,33.5185892,-86.8103567
35,San Antonio,Texas,253854,South,29.4241219,-98.49362819999999
36,Providence,Rhode Island,253504,Northeast,41.8239891,-71.4128343
37,Akron,Ohio,244791,Midwest,41.0814447,-81.51900529999999
38,Omaha,Nebraska,223844,Midwest,41.2565369,-95.9345034
39,Dayton,Ohio,210718,Midwest,39.7589478,-84.1916069
40,Syracuse,New York,205967,Northeast,43.0481221,-76.14742439999999
41,Oklahoma City,Oklahoma,204424,South,35.4675602,-97.5164276
42,San Diego,California,203341,West,32.715738,-117.1610838
43,Worcester,Massachusetts,193694,Northeast,42.2625932,-71.8022934
44,Richmond,Virginia,193042,South,37.5407246,-77.4360481
45,Fort Worth,Texas,177662,South,32.7554883,-97.3307658
46,Jacksonville,Florida,173065,South,30.3321838,-81.65565099999999
47,Miami,Florida,172172,South,25.7616798,-80.1917902
48,Youngstown,Ohio,167720,Midwest,41.0997803,-80.6495194
49,Nashville,Tennessee,167402,South,36.1626638,-86.7816016
50,Hartford,Connecticut,166267,Northeast,41.7658043,-72.6733723
51,Grand Rapids,Michigan,164292,Midwest,42.9633599,-85.6680863
52,Long Beach,California,164271,West,33.7700504,-118.1937395
53,New Haven,Connecticut,160605,Northeast,41.308274,-72.9278835
54,Des Moines,Iowa,159819,Midwest,41.5868353,-93.6249593
55,Flint,Michigan,151543,Midwest,43.0125274,-83.6874562
56,Salt Lake City,Utah,149934,West,40.7607793,-111.8910474
57,Springfield,Massachusetts,149554,Northeast,42.1014831,-72.589811
58,Bridgeport,Connecticut,147121,Northeast,41.1792258,-73.1894384
59,Norfolk,Virginia,144332,South,36.8507689,-76.28587259999999
60,Yonkers,New York,142598,Northeast,40.9312099,-73.89874689999999
61,Tulsa,Oklahoma,142157,South,36.1539816,-95.99277500000001
62,Scranton,Pennsylvania,140404,Northeast,41.408969,-75.66241219999999
63,Paterson,New Jersey,139656,Northeast,40.9167654,-74.17181099999999
64,Albany,New York,130577,Northeast,42.6525793,-73.7562317
65,Chattanooga,Tennessee,128163,South,35.0456297,-85.3096801
66,Trenton,New Jersey,124697,Northeast,40.2205824,-74.759717
67,Spokane,Washington,122001,West,47.6587802,-117.4260465
68,Kansas City,Kansas,121458,Midwest,39.11553139999999,-94.62678729999999
69,Fort Wayne,Indiana,118410,Midwest,41.079273,-85.1393513
70,Camden,New Jersey,117536,Northeast,39.9259463,-75.1196199
71,Erie,Pennsylvania,116955,Northeast,42.12922409999999,-80.085059
72,Fall River,Massachusetts,115428,Northeast,41.7014912,-71.1550451
73,Wichita,Kansas,114966,Midwest,37.68717609999999,-97.33005299999999
74,Wilmington,Delaware,112504,South,39.744655,-75.5483909
75,Gary,Indiana,111719,Midwest,41.6020403,-87.3371523
76,Knoxville,Tennessee,111580,South,35.9606384,-83.9207392
77,Cambridge,Massachusetts,110879,Northeast,42.3736158,-71.10973349999999
78,Reading,Pennsylvania,110568,Northeast,40.3356483,-75.9268747
79,New Bedford,Massachusetts,110341,Northeast,41.6362152,-70.93420499999999
80,Elizabeth,New Jersey,109912,Northeast,40.6639916,-74.2107006
81,Tacoma,Washington,109408,West,47.2528768,-122.4442906
82,Canton,Ohio,108401,Midwest,40.79894729999999,-81.378447
83,Tampa,Florida,108391,South,27.950575,-82.4571776
84,Sacramento,California,105958,West,38.5815719,-121.4943996
85,Peoria,Illinois,105087,Midwest,40.6936488,-89.5889864
86,Somerville,Massachusetts,102177,Northeast,42.3875968,-71.0994968
87,Lowell,Massachusetts,101389,Northeast,42.6334247,-71.31617179999999
88,South Bend,Indiana,101268,Midwest,41.6763545,-86.25198979999999
89,Duluth,Minnesota,101065,Midwest,46.78667189999999,-92.1004852
90,Charlotte,North Carolina,100899,South,35.2270869,-80.8431267
91,Utica,New York,100518,Northeast,43.100903,-75.232664
92,Waterbury,Connecticut,99314,Northeast,41.5581525,-73.0514965
93,Shreveport,Louisiana,98167,South,32.5251516,-93.7501789
94,Lynn,Massachusetts,98123,Northeast,42.46676300000001,-70.9494938
95,Evansville,Indiana,97062,Midwest,37.9715592,-87.5710898
96,Allentown,Pennsylvania,96904,Northeast,40.6022939,-75.4714098
97,El Paso,Texas,96810,South,31.7618778,-106.4850217
98,Savannah,Georgia,95996,South,32.0808989,-81.091203
99,Little Rock,Arkansas,88039,South,34.7464809,-92.28959479999999
