,zip_code,y-2016,y-2015,y-2014,y-2013,y-2012,y-2011,y-2010,aggregate,Zip,City,State,Latitude,Longitude,Distance from Reactor,Reactor_lat,Reactor_lng,Reactor_city,Reactor_state,Reactor_name,Reactor_units
14854,45888,166,187,218,197,213,205,220,1406,45888,Uniopolis,OH,40.601985,-84.08653000000001,133.6079151144059,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13813,43324,2861,2764,2376,2297,2482,2754,2817,18351,43324,Huntsville,OH,40.460862,-83.83774,133.65092274941247,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15670,48051,17741,17683,17014,17027,16634,16952,17319,120370,48051,New Baltimore,MI,42.682081,-82.83068,133.75300456629745,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15824,48316,27020,26710,26386,25854,25543,25037,25404,181954,48316,Utica,MI,42.689632,-83.06154000000001,133.84425736071591,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15857,48380,7175,7370,7171,7388,7244,7342,7404,51094,48380,Milford,MI,42.586597,-83.66826,133.87248203027121,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15861,48386,17489,17581,17669,18081,17579,17630,17434,123463,48386,White Lake,MI,42.642431,-83.47193,134.07603776960886,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13830,43348,1644,1646,1603,1949,2082,1915,1984,12823,43348,Russells Point,OH,40.469231,-83.88554,134.9989323611167,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15816,48306,27936,28195,27836,27177,27433,27466,26691,192734,48306,Rochester,MI,42.708151,-83.16584,136.44630514487156,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15648,48023,5083,5087,5072,5135,5250,5409,5178,36214,48023,Fair Haven,MI,42.693915000000004,-82.66859000000001,137.16971327934743,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15833,48329,25338,24990,24911,24526,24489,24571,25009,173834,48329,Waterford,MI,42.68828,-83.38967,137.2591082588162,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15860,48383,13414,13272,12956,12279,12534,12282,12701,89438,48383,White Lake,MI,42.657361,-83.54529000000001,137.4946193344297,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15700,48094,18807,18562,18446,18424,17730,17316,18028,127313,48094,Washington,MI,42.727731,-83.03846999999999,138.03382453231097,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13808,43319,854,732,904,850,929,918,1040,6227,43319,East Liberty,OH,40.307922999999995,-83.56924000000001,139.3276881821589,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15847,48359,9128,8559,8148,7882,7784,7800,8044,57345,48359,Lake Orion,MI,42.722932,-83.28537,139.3506400239607,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15845,48356,8585,8386,8319,8405,8366,8361,8407,58829,48356,Highland,MI,42.66415,-83.58981999999999,139.42901321857482,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13802,43311,19108,19124,19089,19361,19369,19265,19240,134556,43311,Bellefontaine,OH,40.365922999999995,-83.75816,139.66127674594412,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15846,48357,8414,8438,8832,8649,8488,8325,8170,59316,48357,Highland,MI,42.656281,-83.63297,139.8796792138354,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13818,43333,593,675,576,897,929,914,894,5478,43333,Lewistown,OH,40.436172,-83.92528,139.9132245682081,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13697,43040,33103,32649,32507,32066,31465,31484,31790,225064,43040,Marysville,OH,40.255973,-83.36391,140.12607979649962,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13836,43360,1620,1684,1727,1469,1159,1325,1593,10577,43360,Zanesfield,OH,40.327984,-83.66884,140.3179918232303,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15667,48048,7193,7243,8008,8166,8225,8201,7548,54584,48048,New Haven,MI,42.739751,-82.79758000000001,140.44337847258214,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15702,48096,3953,3923,3870,3830,3810,3748,3739,26873,48096,Ray,MI,42.753378000000005,-82.91658000000001,141.07456639019182,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15841,48346,23009,23070,23047,22888,22823,22682,22567,160086,48346,Clarkston,MI,42.720966,-83.4044,141.07490128233098,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
13820,43336,0,0,0,0,42,37,39,118,43336,Middleburg,OH,40.293690999999995,-83.5827,141.2026114507265,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
14859,45895,18063,18397,18333,18356,18253,18244,17945,127591,45895,Wapakoneta,OH,40.569140000000004,-84.17288,141.2431325405656,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15844,48353,6372,6583,6494,6444,6345,6267,6481,44986,48353,Hartland,MI,42.644709000000006,-83.71791999999999,141.43888475925633,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15848,48360,11847,11888,11713,11863,11847,11882,11651,82691,48360,Lake Orion,MI,42.74628,-83.2612,141.60664261538494,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
15659,48039,7667,7679,7718,7756,7817,7935,7807,54379,48039,Marine City,MI,42.710445,-82.50811,142.24306586797303,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
14798,45819,290,304,268,259,242,242,233,1838,45819,Buckland,OH,40.623695,-84.26087,142.24715416195414,41.486938,-83.009552,Oak Harbor,OH,Davis-Besse,1.0
